public_date,gicdesc,NFIRM,indret_ew,indret_vw,gpm_Median,npm_Median,roa_Median,roe_Median,debt_assets_Median
2021-05-31,Communication Services,145,0.031623,0.00382,0.516,-0.036,0.058,-0.04,0.601
2021-05-31,Consumer Discretionary,435,0.020935,-0.038256,0.341,0.021,0.081,0.058,0.671
2021-05-31,Consumer Staples,140,0.018104,0.017394,0.326,0.035,0.106,0.097,0.551
2021-05-31,Energy,159,0.151558,0.064536,0.21,-0.153,0.022,-0.143,0.541
2021-05-31,Financials,596,0.033247,0.04446,0.792,0.221,0.023,0.106,0.884
2021-05-31,Health Care,874,-0.030811,0.00449,0.333,-0.642,-0.265,-0.383,0.345
2021-05-31,Industrials,488,0.00867,0.020612,0.279,0.026,0.091,0.06,0.584
2021-05-31,Information Technology,506,0.004013,-0.012634,0.534,0.003,0.067,0.011,0.527
2021-05-31,Materials,145,0.074063,0.05046,0.264,0.041,0.101,0.067,0.551
2021-05-31,Real Estate,33,0.00199,-0.020758,0.178,0.036,0.011,0.034,0.501
2021-05-31,Utilities,70,-0.011586,-0.022701,0.361,0.122,0.076,0.081,0.697
2021-06-30,Communication Services,145,0.069737,0.035707,0.516,-0.04,0.054,-0.027,0.602
2021-06-30,Consumer Discretionary,433,0.030726,0.039484,0.346,0.035,0.09,0.088,0.68
2021-06-30,Consumer Staples,142,-0.006068,-0.003916,0.326,0.037,0.102,0.1,0.552
2021-06-30,Energy,159,0.11084,0.054481,0.214,-0.149,0.022,-0.143,0.541
2021-06-30,Financials,597,-0.01992,-0.024777,0.792,0.222,0.023,0.106,0.884
2021-06-30,Health Care,888,0.048935,0.037268,0.336,-0.619,-0.262,-0.38,0.346
2021-06-30,Industrials,490,0.004654,-0.016059,0.279,0.028,0.092,0.067,0.585
2021-06-30,Information Technology,516,0.080869,0.073778,0.542,0.004,0.068,0.013,0.522
2021-06-30,Materials,146,-0.02201,-0.050816,0.261,0.042,0.101,0.067,0.551
2021-06-30,Real Estate,34,0.023514,0.008151,0.17,0.036,0.007,0.034,0.517
2021-06-30,Utilities,70,-0.009254,-0.018423,0.361,0.122,0.076,0.081,0.697
2021-07-31,Communication Services,147,-0.060613,0.010077,0.516,-0.046,0.043,-0.043,0.601
2021-07-31,Consumer Discretionary,435,-0.043186,-0.003163,0.348,0.036,0.092,0.093,0.68
2021-07-31,Consumer Staples,144,-0.043978,0.017198,0.332,0.033,0.098,0.101,0.551
2021-07-31,Energy,160,-0.120634,-0.087269,0.21,-0.153,0.021,-0.144,0.542
2021-07-31,Financials,597,-0.007667,-0.005492,0.792,0.223,0.023,0.106,0.884
2021-07-31,Health Care,895,-0.080772,0.030891,0.335,-0.626,-0.265,-0.382,0.346
2021-07-31,Industrials,490,-0.025168,-0.003228,0.281,0.029,0.092,0.071,0.584
2021-07-31,Information Technology,522,-0.024405,0.031102,0.542,0.005,0.068,0.017,0.522
2021-07-31,Materials,147,-0.011556,0.009114,0.261,0.044,0.102,0.065,0.551
2021-07-31,Real Estate,34,0.006081,0.02497,0.17,0.036,0.007,0.034,0.517
2021-07-31,Utilities,70,0.030399,0.037714,0.361,0.122,0.076,0.081,0.697
2021-08-31,Communication Services,151,0.011287,0.036616,0.527,-0.007,0.067,0.009,0.599
2021-08-31,Consumer Discretionary,442,0.0011,0.019767,0.358,0.05,0.11,0.141,0.664
2021-08-31,Consumer Staples,146,-0.006549,0.017655,0.326,0.038,0.1,0.091,0.546
2021-08-31,Energy,160,-0.003464,-0.013976,0.231,-0.105,0.042,-0.094,0.528
2021-08-31,Financials,598,0.03274,0.051481,0.842,0.248,0.024,0.121,0.884
2021-08-31,Health Care,921,0.045018,0.02516,0.359,-0.623,-0.257,-0.356,0.323
2021-08-31,Industrials,505,0.012792,0.006416,0.284,0.036,0.101,0.088,0.568
2021-08-31,Information Technology,534,0.033135,0.036372,0.544,0.006,0.066,0.018,0.512
2021-08-31,Materials,147,0.009356,0.011691,0.273,0.052,0.114,0.102,0.54
2021-08-31,Real Estate,36,0.033045,0.048022,0.211,0.039,0.012,0.019,0.507
2021-08-31,Utilities,70,0.027538,0.036824,0.352,0.119,0.076,0.077,0.697
2021-09-30,Communication Services,153,-0.022881,-0.062127,0.528,0.007,0.067,0.012,0.601
2021-09-30,Consumer Discretionary,447,-0.05058,-0.028085,0.366,0.053,0.113,0.144,0.664
2021-09-30,Consumer Staples,148,-0.042743,-0.04173,0.329,0.037,0.1,0.09,0.542
2021-09-30,Energy,160,0.174026,0.103225,0.232,-0.105,0.043,-0.092,0.524
2021-09-30,Financials,606,0.001352,-0.015253,0.841,0.247,0.024,0.121,0.884
2021-09-30,Health Care,949,-0.0593,-0.056099,0.356,-0.665,-0.261,-0.359,0.321
2021-09-30,Industrials,508,-0.041075,-0.050248,0.281,0.035,0.101,0.088,0.569
2021-09-30,Information Technology,550,-0.045335,-0.055372,0.548,0.003,0.065,0.017,0.511
2021-09-30,Materials,146,-0.047712,-0.071027,0.273,0.053,0.115,0.101,0.54
2021-09-30,Real Estate,38,-0.02025,-0.000148,0.211,0.031,0.017,0.014,0.509
2021-09-30,Utilities,70,-0.066197,-0.061343,0.352,0.119,0.076,0.077,0.697
2021-10-31,Communication Services,158,0.00298,0.003103,0.537,0.008,0.067,0.015,0.599
2021-10-31,Consumer Discretionary,447,0.021979,0.101269,0.367,0.052,0.114,0.146,0.663
2021-10-31,Consumer Staples,150,0.019304,0.038744,0.329,0.037,0.099,0.086,0.542
2021-10-31,Energy,160,0.065482,0.098243,0.23,-0.105,0.042,-0.092,0.518
2021-10-31,Financials,604,0.048483,0.076097,0.837,0.247,0.024,0.121,0.884
2021-10-31,Health Care,955,-0.026853,0.041586,0.357,-0.667,-0.263,-0.361,0.322
2021-10-31,Industrials,511,0.042141,0.064657,0.281,0.035,0.101,0.09,0.569
2021-10-31,Information Technology,548,0.046561,0.082597,0.546,0.003,0.066,0.019,0.511
2021-10-31,Materials,147,0.061652,0.07303,0.273,0.052,0.116,0.102,0.539
2021-10-31,Real Estate,38,0.001076,0.05857,0.211,0.031,0.017,0.014,0.509
2021-10-31,Utilities,70,0.045051,0.051791,0.352,0.119,0.075,0.077,0.697
2021-11-30,Communication Services,158,-0.10176,-0.052717,0.52,0.009,0.069,0.016,0.619
2021-11-30,Consumer Discretionary,452,-0.037449,0.012686,0.375,0.054,0.115,0.153,0.655
2021-11-30,Consumer Staples,152,-0.027793,-0.018119,0.325,0.041,0.103,0.084,0.534
2021-11-30,Energy,158,-0.109912,-0.056435,0.247,-0.076,0.057,-0.084,0.517
2021-11-30,Financials,602,-0.026226,-0.054188,0.867,0.259,0.024,0.124,0.882
2021-11-30,Health Care,965,-0.092101,-0.040439,0.361,-0.687,-0.271,-0.349,0.305
2021-11-30,Industrials,511,-0.026889,-0.032887,0.283,0.041,0.1,0.092,0.555
2021-11-30,Information Technology,563,-0.054463,0.02484,0.548,0.002,0.06,0.017,0.488
2021-11-30,Materials,147,-0.039251,-0.009083,0.292,0.061,0.122,0.104,0.539
2021-11-30,Real Estate,40,-0.086362,-0.151438,0.224,0.029,0.021,0.025,0.506
2021-11-30,Utilities,70,-0.023395,-0.016525,0.349,0.114,0.075,0.077,0.707
2021-12-31,Communication Services,158,0.003981,0.019941,0.519,0.003,0.069,0.016,0.616
2021-12-31,Consumer Discretionary,460,-0.014176,-0.012824,0.377,0.052,0.114,0.153,0.65
2021-12-31,Consumer Staples,153,0.027693,0.092489,0.324,0.041,0.1,0.084,0.531
2021-12-31,Energy,156,-0.01235,0.025098,0.246,-0.071,0.056,-0.083,0.514
2021-12-31,Financials,602,0.02761,0.023631,0.867,0.258,0.024,0.124,0.882
2021-12-31,Health Care,982,-0.052328,0.070045,0.363,-0.715,-0.276,-0.349,0.307
2021-12-31,Industrials,514,0.003194,0.042495,0.283,0.041,0.099,0.092,0.556
2021-12-31,Information Technology,569,-0.006681,0.020065,0.551,0.001,0.058,0.018,0.485
2021-12-31,Materials,146,0.048865,0.070099,0.292,0.061,0.122,0.106,0.541
2021-12-31,Real Estate,39,0.024787,0.072783,0.224,0.029,0.021,0.025,0.508
2021-12-31,Utilities,71,0.086675,0.092706,0.349,0.114,0.075,0.077,0.707
2022-01-31,Communication Services,165,-0.089265,-0.075507,0.517,0.001,0.067,0.016,0.613
2022-01-31,Consumer Discretionary,468,-0.108258,-0.106611,0.377,0.051,0.114,0.153,0.65
2022-01-31,Consumer Staples,155,-0.065693,-0.020645,0.325,0.033,0.101,0.085,0.536
2022-01-31,Energy,156,0.090321,0.166152,0.246,-0.071,0.056,-0.083,0.514
2022-01-31,Financials,599,-0.020574,-0.009524,0.865,0.256,0.024,0.124,0.882
2022-01-31,Health Care,990,-0.160382,-0.088093,0.362,-0.715,-0.28,-0.351,0.31
2022-01-31,Industrials,518,-0.104632,-0.063778,0.284,0.041,0.1,0.089,0.554
2022-01-31,Information Technology,578,-0.1248,-0.078745,0.557,0,0.057,0.018,0.487
2022-01-31,Materials,147,-0.071454,-0.068812,0.292,0.064,0.122,0.105,0.54
2022-01-31,Real Estate,39,-0.101476,-0.11129,0.224,0.029,0.021,0.025,0.508
2022-01-31,Utilities,71,-0.04086,-0.033649,0.349,0.114,0.075,0.077,0.707
2022-02-28,Communication Services,168,-0.02746,-0.069925,0.513,0.01,0.059,0.02,0.611
2022-02-28,Consumer Discretionary,470,-0.011392,-0.031659,0.377,0.053,0.112,0.166,0.634
2022-02-28,Consumer Staples,154,-0.009548,-0.011321,0.316,0.029,0.101,0.084,0.522
2022-02-28,Energy,156,0.135397,0.080486,0.345,0.004,0.094,0.016,0.508
2022-02-28,Financials,595,-0.000847,-0.01615,0.881,0.254,0.024,0.123,0.884
2022-02-28,Health Care,997,-0.040841,-0.00994,0.391,-0.719,-0.287,-0.342,0.297
2022-02-28,Industrials,519,0.009098,-0.000218,0.286,0.04,0.095,0.095,0.551
2022-02-28,Information Technology,582,-0.011189,-0.043902,0.561,-0.017,0.045,0.02,0.473
2022-02-28,Materials,147,0.055726,0.025063,0.291,0.069,0.118,0.125,0.538
2022-02-28,Real Estate,40,0.005521,-0.029237,0.234,0.043,0.024,0.021,0.518
2022-02-28,Utilities,71,-0.005442,-0.017141,0.335,0.105,0.073,0.076,0.699
2022-03-31,Communication Services,168,0.012116,0.00115,0.516,0.011,0.059,0.02,0.611
2022-03-31,Consumer Discretionary,471,-0.027203,0.035055,0.379,0.053,0.114,0.167,0.632
2022-03-31,Consumer Staples,155,0.012786,0.021751,0.318,0.028,0.098,0.082,0.524
2022-03-31,Energy,155,0.171585,0.104769,0.348,0.003,0.095,0.016,0.512
2022-03-31,Financials,596,-0.016771,-0.015314,0.881,0.254,0.023,0.123,0.884
2022-03-31,Health Care,996,0.023526,0.048378,0.387,-0.719,-0.287,-0.341,0.297
2022-03-31,Industrials,520,0.025164,0.030111,0.285,0.04,0.095,0.096,0.551
2022-03-31,Information Technology,580,0.008955,0.030116,0.562,-0.02,0.045,0.021,0.471
2022-03-31,Materials,146,0.118337,0.058251,0.292,0.067,0.117,0.123,0.536
2022-03-31,Real Estate,41,0.002359,-0.022564,0.234,0.043,0.023,0.021,0.512
2022-03-31,Utilities,70,0.06557,0.094673,0.336,0.108,0.073,0.075,0.701
2022-04-30,Communication Services,170,-0.131357,-0.146299,0.514,0.008,0.059,0.02,0.612
2022-04-30,Consumer Discretionary,469,-0.098663,-0.133593,0.379,0.053,0.115,0.167,0.632
2022-04-30,Consumer Staples,156,-0.029688,0.021382,0.32,0.028,0.098,0.082,0.53
2022-04-30,Energy,155,-0.030748,-0.015696,0.348,0.003,0.095,0.016,0.512
2022-04-30,Financials,590,-0.077914,-0.103994,0.88,0.253,0.024,0.124,0.884
2022-04-30,Health Care,1002,-0.18815,-0.064778,0.392,-0.714,-0.287,-0.326,0.297
2022-04-30,Industrials,521,-0.11124,-0.082346,0.285,0.04,0.095,0.099,0.552
2022-04-30,Information Technology,582,-0.120623,-0.11818,0.562,-0.02,0.045,0.023,0.471
2022-04-30,Materials,144,-0.054061,-0.053664,0.292,0.067,0.117,0.123,0.536
2022-04-30,Real Estate,41,-0.10923,-0.1106,0.234,0.043,0.023,0.021,0.512
2022-04-30,Utilities,71,-0.052741,-0.041378,0.336,0.108,0.072,0.075,0.701
2022-05-31,Communication Services,170,-0.008167,0.014427,0.506,0.001,0.05,0.006,0.609
2022-05-31,Consumer Discretionary,469,-0.048417,-0.050623,0.373,0.05,0.115,0.147,0.63
2022-05-31,Consumer Staples,157,-0.035426,-0.051064,0.311,0.031,0.088,0.079,0.525
2022-05-31,Energy,156,0.104607,0.150142,0.32,0.004,0.099,0.016,0.513
2022-05-31,Financials,592,0.019764,0.035863,0.89,0.25,0.023,0.117,0.884
2022-05-31,Health Care,1006,-0.065821,0.007328,0.349,-0.781,-0.277,-0.352,0.304
2022-05-31,Industrials,524,-0.006426,-0.008171,0.282,0.038,0.094,0.087,0.549
2022-05-31,Information Technology,585,-0.042007,-0.020932,0.553,-0.018,0.039,-0.015,0.49
2022-05-31,Materials,147,-0.013941,0.001485,0.292,0.069,0.121,0.114,0.532
2022-05-31,Real Estate,41,-0.018773,-0.02726,0.248,0.02,0.022,0.024,0.5
2022-05-31,Utilities,71,0.065149,0.04424,0.337,0.11,0.07,0.072,0.706
2022-06-30,Communication Services,171,-0.128329,-0.082293,0.5,-0.001,0.049,0.006,0.61
2022-06-30,Consumer Discretionary,467,-0.127662,-0.111028,0.37,0.05,0.114,0.147,0.63
2022-06-30,Consumer Staples,156,-0.036441,-0.026352,0.313,0.03,0.092,0.079,0.523
2022-06-30,Energy,156,-0.195553,-0.168422,0.32,0.004,0.099,0.014,0.515
2022-06-30,Financials,594,-0.075619,-0.109109,0.891,0.25,0.023,0.117,0.884
2022-06-30,Health Care,1011,0.002235,-0.02035,0.348,-0.782,-0.278,-0.352,0.305
2022-06-30,Industrials,524,-0.081339,-0.07751,0.283,0.039,0.094,0.087,0.549
2022-06-30,Information Technology,584,-0.109424,-0.092585,0.552,-0.02,0.04,-0.017,0.49
2022-06-30,Materials,147,-0.140505,-0.151087,0.293,0.069,0.121,0.114,0.532
2022-06-30,Real Estate,41,-0.152469,-0.162803,0.248,0.02,0.022,0.024,0.5
2022-06-30,Utilities,71,-0.045841,-0.051523,0.337,0.11,0.07,0.072,0.706
2022-07-31,Communication Services,172,0.056529,0.033245,0.499,-0.002,0.049,0.002,0.609
2022-07-31,Consumer Discretionary,468,0.112119,0.189056,0.37,0.049,0.111,0.146,0.63
2022-07-31,Consumer Staples,156,0.026487,0.03742,0.316,0.032,0.091,0.082,0.527
2022-07-31,Energy,156,0.124864,0.107823,0.318,0.003,0.099,0.014,0.52
2022-07-31,Financials,592,0.057135,0.077699,0.891,0.25,0.023,0.117,0.884
2022-07-31,Health Care,1011,0.077718,0.043104,0.348,-0.782,-0.276,-0.352,0.305
2022-07-31,Industrials,523,0.116039,0.104909,0.285,0.039,0.094,0.085,0.549
2022-07-31,Information Technology,580,0.111273,0.131619,0.552,-0.021,0.036,-0.017,0.487
2022-07-31,Materials,145,0.092846,0.072471,0.293,0.07,0.121,0.114,0.529
2022-07-31,Real Estate,42,0.077096,0.100436,0.245,0.019,0.022,0.023,0.504
2022-07-31,Utilities,71,0.067409,0.057504,0.337,0.11,0.07,0.072,0.706
2022-08-31,Communication Services,173,0.010158,-0.031307,0.498,-0.008,0.06,-0.016,0.619
2022-08-31,Consumer Discretionary,469,-0.016667,-0.044508,0.365,0.046,0.103,0.129,0.641
2022-08-31,Consumer Staples,155,-0.001454,-0.015646,0.313,0.026,0.089,0.078,0.542
2022-08-31,Energy,156,0.051759,0.032397,0.374,0.038,0.138,0.091,0.526
2022-08-31,Financials,593,-0.012438,-0.016788,0.888,0.24,0.022,0.111,0.886
2022-08-31,Health Care,1007,0.020382,-0.051114,0.334,-0.801,-0.298,-0.401,0.316
2022-08-31,Industrials,523,-0.01798,-0.025889,0.28,0.039,0.094,0.082,0.549
2022-08-31,Information Technology,577,-0.019876,-0.054433,0.543,-0.034,0.029,-0.04,0.476
2022-08-31,Materials,147,-0.025727,-0.025921,0.287,0.067,0.122,0.126,0.535
2022-08-31,Real Estate,43,-0.054756,-0.09205,0.26,0.02,0.021,0.016,0.506
2022-08-31,Utilities,71,0.009086,0.004211,0.33,0.116,0.072,0.075,0.704
2022-09-30,Communication Services,173,-0.162003,-0.122726,0.5,-0.007,0.061,-0.016,0.618
2022-09-30,Consumer Discretionary,468,-0.137815,-0.081953,0.36,0.044,0.1,0.12,0.641
2022-09-30,Consumer Staples,154,-0.140098,-0.078882,0.309,0.028,0.09,0.082,0.54
2022-09-30,Energy,157,-0.132155,-0.096696,0.372,0.039,0.138,0.095,0.526
2022-09-30,Financials,595,-0.073325,-0.078852,0.888,0.24,0.022,0.111,0.886
2022-09-30,Health Care,1005,-0.102963,-0.030945,0.33,-0.798,-0.299,-0.403,0.315
2022-09-30,Industrials,524,-0.124601,-0.10361,0.28,0.037,0.094,0.081,0.549
2022-09-30,Information Technology,574,-0.120826,-0.118255,0.543,-0.034,0.029,-0.042,0.465
2022-09-30,Materials,147,-0.121055,-0.109594,0.287,0.067,0.122,0.126,0.534
2022-09-30,Real Estate,43,-0.149939,-0.15878,0.26,0.02,0.021,0.016,0.506
2022-09-30,Utilities,71,-0.114516,-0.111077,0.33,0.116,0.072,0.075,0.704
2022-10-31,Communication Services,175,0.05939,0.014915,0.5,-0.006,0.061,-0.015,0.614
2022-10-31,Consumer Discretionary,469,0.095021,0.008644,0.36,0.045,0.1,0.12,0.641
2022-10-31,Consumer Staples,157,0.073459,0.091087,0.303,0.027,0.088,0.077,0.554
2022-10-31,Energy,156,0.239135,0.231844,0.37,0.039,0.141,0.1,0.522
2022-10-31,Financials,592,0.087444,0.119613,0.888,0.242,0.022,0.111,0.886
2022-10-31,Health Care,1001,0.011777,0.08704,0.333,-0.825,-0.302,-0.407,0.315
2022-10-31,Industrials,527,0.095669,0.129732,0.28,0.038,0.092,0.083,0.55
2022-10-31,Information Technology,571,0.057891,0.075443,0.543,-0.033,0.03,-0.042,0.469
2022-10-31,Materials,146,0.114143,0.096888,0.287,0.067,0.122,0.125,0.536
2022-10-31,Real Estate,44,0.03612,0.048929,0.26,0.028,0.022,0.016,0.51
2022-10-31,Utilities,71,0.054178,0.025634,0.33,0.116,0.072,0.075,0.704
2022-11-30,Communication Services,175,-0.008843,0.05179,0.496,-0.003,0.061,-0.018,0.61
2022-11-30,Consumer Discretionary,469,0.020583,0.013373,0.359,0.039,0.099,0.117,0.646
2022-11-30,Consumer Staples,157,0.001086,0.063284,0.309,0.023,0.086,0.061,0.538
2022-11-30,Energy,154,-0.002325,0.0135,0.37,0.066,0.164,0.18,0.518
2022-11-30,Financials,592,0.029203,0.059795,0.87,0.24,0.022,0.113,0.889
2022-11-30,Health Care,1004,-0.030657,0.044561,0.335,-0.867,-0.312,-0.443,0.321
2022-11-30,Industrials,532,0.015591,0.066697,0.28,0.035,0.094,0.077,0.556
2022-11-30,Information Technology,571,-0.008629,0.050147,0.534,-0.04,0.031,-0.053,0.479
2022-11-30,Materials,146,0.061896,0.114229,0.271,0.068,0.12,0.124,0.525
2022-11-30,Real Estate,44,0.043739,0.092653,0.271,0.026,0.024,0.02,0.506
2022-11-30,Utilities,71,0.058476,0.068128,0.324,0.112,0.073,0.076,0.703
2022-12-31,Communication Services,174,-0.109306,-0.069403,0.496,-0.003,0.062,-0.018,0.606
2022-12-31,Consumer Discretionary,467,-0.097315,-0.116517,0.357,0.038,0.098,0.112,0.646
2022-12-31,Consumer Staples,155,-0.063372,-0.032039,0.307,0.024,0.086,0.061,0.538
2022-12-31,Energy,153,-0.071573,-0.043973,0.367,0.066,0.165,0.187,0.52
2022-12-31,Financials,590,-0.04418,-0.062145,0.87,0.241,0.022,0.113,0.889
2022-12-31,Health Care,1002,-0.046626,-0.021145,0.333,-0.851,-0.312,-0.446,0.321
2022-12-31,Industrials,530,-0.068174,-0.039144,0.281,0.036,0.095,0.078,0.555
2022-12-31,Information Technology,570,-0.069958,-0.079152,0.533,-0.038,0.032,-0.053,0.481
2022-12-31,Materials,146,-0.057033,-0.055646,0.271,0.068,0.12,0.124,0.525
2022-12-31,Real Estate,44,-0.053309,-0.0635,0.271,0.026,0.024,0.02,0.506
2022-12-31,Utilities,71,-0.022566,-0.007591,0.324,0.112,0.073,0.076,0.703
2023-01-31,Communication Services,176,0.296636,0.146066,0.496,-0.003,0.063,-0.019,0.606
2023-01-31,Consumer Discretionary,464,0.218564,0.161321,0.357,0.039,0.099,0.112,0.645
2023-01-31,Consumer Staples,155,0.087866,-0.002683,0.31,0.022,0.085,0.06,0.538
2023-01-31,Energy,153,0.046601,0.024575,0.367,0.066,0.165,0.187,0.52
2023-01-31,Financials,588,0.068025,0.08035,0.87,0.24,0.022,0.113,0.889
2023-01-31,Health Care,998,0.200135,-0.007456,0.333,-0.875,-0.311,-0.444,0.32
2023-01-31,Industrials,530,0.149868,0.056027,0.281,0.037,0.095,0.081,0.553
2023-01-31,Information Technology,570,0.184299,0.096461,0.529,-0.039,0.032,-0.052,0.479
2023-01-31,Materials,147,0.134835,0.11723,0.271,0.068,0.119,0.122,0.522
2023-01-31,Real Estate,44,0.195065,0.157881,0.271,0.026,0.024,0.02,0.506
2023-01-31,Utilities,71,0.024215,-0.016234,0.324,0.112,0.073,0.076,0.703
2023-02-28,Communication Services,178,-0.078496,-0.038903,0.497,-0.008,0.062,-0.022,0.622
2023-02-28,Consumer Discretionary,455,-0.046988,-0.020933,0.355,0.03,0.096,0.087,0.65
2023-02-28,Consumer Staples,155,-0.038179,-0.023284,0.297,0.018,0.083,0.066,0.574
2023-02-28,Energy,153,-0.056877,-0.068649,0.401,0.076,0.183,0.17,0.496
2023-02-28,Financials,587,0.002247,-0.018076,0.825,0.227,0.022,0.111,0.893
2023-02-28,Health Care,997,-0.06647,-0.046738,0.375,-0.859,-0.326,-0.432,0.396
2023-02-28,Industrials,532,-0.014564,-0.006887,0.281,0.035,0.095,0.086,0.566
2023-02-28,Information Technology,562,-0.029006,0.005667,0.537,-0.04,0.029,-0.04,0.506
2023-02-28,Materials,148,-0.038491,-0.039121,0.265,0.058,0.114,0.113,0.519
2023-02-28,Real Estate,44,-0.058594,-0.053442,0.253,-0.007,0.026,0.01,0.5
